기간,Dubai,Brent,WTI
20년08월27일,45.01,45.09,43.04
20년08월28일,44.12,45.05,42.97
20년08월31일,45.93,45.28,42.61
20년09월01일,45.11,45.58,42.76
20년09월02일,45.30,44.43,41.51
20년09월03일,43.43,44.07,41.37
20년09월04일,43.78,42.66,39.77
20년09월07일,41.42,42.01,
20년09월08일,40.68,39.78,36.76
20년09월09일,39.49,40.79,38.05
20년09월10일,39.74,40.06,37.30
20년09월11일,39.27,39.83,37.33
20년09월14일,38.89,39.61,37.26
20년09월15일,39.24,40.53,38.28
20년09월16일,41.21,42.22,40.16
20년09월17일,41.67,43.30,40.97
20년09월18일,43.02,43.15,41.11
20년09월21일,41.63,41.44,39.31
20년09월22일,41.14,41.72,39.60
20년09월23일,41.38,41.77,39.93
20년09월24일,41.21,41.94,40.31
20년09월25일,41.98,41.92,40.25
20년09월28일,41.41,42.43,40.60
20년09월29일,41.87,41.03,39.29
20년09월30일,40.36,40.95,40.22
20년10월01일,41.12,40.93,38.72
20년10월02일,38.62,39.27,37.05
20년10월05일,39.27,41.29,39.22
20년10월06일,40.55,42.65,40.67
20년10월07일,41.24,41.99,39.95
20년10월08일,41.46,43.34,41.19
20년10월09일,42.06,42.85,40.60
20년10월12일,41.28,41.72,39.43
20년10월13일,41.19,42.45,40.20
20년10월14일,41.62,43.32,41.04
20년10월15일,42.01,43.16,40.96
20년10월16일,41.88,42.93,40.88
20년10월19일,41.77,42.62,40.83
20년10월20일,41.58,43.16,41.46
20년10월21일,41.71,41.73,40.03
20년10월22일,41.36,42.46,40.64
20년10월23일,41.67,41.77,39.85
20년10월26일,39.84,40.46,38.56
20년10월27일,39.90,41.20,39.57
20년10월28일,39.27,39.12,37.39
20년10월29일,38.26,37.65,36.17
20년10월30일,37.18,37.46,35.79
20년11월02일,36.30,38.97,36.81
20년11월03일,39.52,39.71,37.66
20년11월04일,39.76,41.23,39.15
20년11월05일,40.69,40.93,38.79
20년11월06일,40.57,39.45,37.14
20년11월09일,40.34,42.40,40.29
20년11월10일,42.49,43.61,41.36
20년11월11일,44.44,43.80,41.45
20년11월12일,43.95,43.53,41.12
20년11월13일,43.15,42.78,40.13
20년11월16일,43.74,43.82,41.34
20년11월17일,43.87,43.75,41.43
20년11월18일,43.78,44.34,41.82
20년11월19일,44.00,44.20,41.74
20년11월20일,44.19,44.96,42.15
20년11월23일,45.61,46.06,43.06
20년11월24일,45.86,47.86,44.91
20년11월25일,47.87,48.61,45.71
20년11월26일,47.49,47.80,
20년11월27일,47.13,48.18,45.53
20년11월30일,47.02,47.59,45.34
20년12월01일,47.59,47.42,44.55
20년12월02일,47.08,48.25,45.28
20년12월03일,48.06,48.71,45.64
20년12월04일,49.04,49.25,46.26
20년12월07일,48.29,48.79,45.76
20년12월08일,48.30,48.84,45.60
20년12월09일,49.14,48.86,45.52
20년12월10일,49.03,50.25,46.78
20년12월11일,50.47,49.97,46.57
20년12월14일,50.65,50.29,46.99
20년12월15일,50.17,50.76,47.62
20년12월16일,50.85,51.08,47.82
20년12월17일,51.46,51.50,48.36
20년12월18일,51.11,52.26,49.10
20년12월21일,50.26,50.91,47.74
20년12월22일,49.75,50.08,47.02
20년12월23일,49.61,51.20,48.12
20년12월24일,51.28,51.29,48.23
20년12월28일,51.07,50.86,47.62
20년12월29일,50.97,51.09,48.00
20년12월30일,51.05,51.34,48.40
20년12월31일,51.14,51.80,48.52
21년01월04일,52.49,51.09,47.62
21년01월05일,50.50,53.60,49.93
21년01월06일,53.51,54.30,50.63
21년01월07일,54.52,54.38,50.83
21년01월08일,54.58,55.99,52.24
21년01월11일,55.33,55.66,52.25
21년01월12일,55.71,56.58,53.21
21년01월13일,56.44,56.06,52.91
21년01월14일,55.70,56.42,53.57
21년01월15일,55.39,55.10,52.36
21년01월18일,54.19,54.75,
21년01월19일,55.19,55.90,52.98
21년01월20일,56.24,56.08,53.24
21년01월21일,55.49,56.10,53.13
21년01월22일,55.20,55.41,52.27
21년01월25일,55.41,55.88,52.77
21년01월26일,55.32,55.91,52.61
21년01월27일,55.74,55.81,52.85
21년01월28일,54.77,55.53,52.34
21년01월29일,54.65,55.88,52.20
21년02월01일,55.00,56.35,53.55
21년02월02일,56.77,57.46,54.76
21년02월03일,57.64,58.46,55.69
21년02월04일,58.36,58.84,56.23
21년02월05일,58.94,59.34,56.85
21년02월08일,59.80,60.56,57.97
21년02월09일,60.49,61.09,58.36
21년02월10일,60.39,61.47,58.68
21년02월11일,60.54,61.14,58.24
21년02월12일,,62.43,59.47
21년02월15일,62.48,63.30,
21년02월16일,62.30,63.35,60.05
21년02월17일,62.80,64.34,61.14
21년02월18일,63.26,63.93,60.52
21년02월19일,60.83,62.91,59.24
21년02월22일,61.28,65.24,61.49
21년02월23일,63.54,65.37,61.67
21년02월24일,62.89,67.04,63.22
21년02월25일,65.39,66.88,63.53
21년02월26일,64.29,66.13,61.50
21년03월01일,64.23,63.69,60.64
21년03월02일,61.41,62.70,59.75
21년03월03일,61.44,64.07,61.28
21년03월04일,63.11,66.74,63.83
21년03월05일,66.37,69.36,66.09
21년03월08일,68.32,68.24,65.05
21년03월09일,66.40,67.52,64.01
21년03월10일,65.30,67.90,64.44
21년03월11일,66.82,69.63,66.02
21년03월12일,67.90,69.22,65.61
21년03월15일,68.25,68.88,65.39
21년03월16일,66.46,68.39,64.80
21년03월17일,66.57,68.00,64.60
21년03월18일,65.29,63.28,60.00
21년03월19일,62.20,64.53,61.42
21년03월22일,63.18,64.62,61.55
21년03월23일,63.00,60.79,57.76
21년03월24일,60.98,64.41,61.18
21년03월25일,62.43,61.95,58.56
21년03월26일,62.07,64.57,60.97
21년03월29일,63.11,64.98,61.56
21년03월30일,63.90,64.14,60.55
21년03월31일,63.36,63.54,59.16
21년04월01일,61.51,64.86,61.45
21년04월05일,61.91,62.15,58.65
21년04월06일,61.34,62.74,59.33
21년04월07일,60.88,63.16,59.77
21년04월08일,61.24,63.20,59.60
21년04월09일,60.94,62.95,59.32
21년04월12일,61.10,63.28,59.70
21년04월13일,61.58,63.67,60.18
21년04월14일,62.56,66.58,63.15
21년04월15일,64.17,66.94,63.46
21년04월16일,65.12,66.77,63.13
21년04월19일,64.83,67.05,63.38
21년04월20일,65.74,66.57,62.44
21년04월21일,63.71,65.32,61.35
21년04월22일,62.25,65.40,61.43
21년04월23일,62.93,66.11,62.14
21년04월26일,62.37,65.65,61.91
21년04월27일,63.27,66.42,62.94
21년04월28일,63.57,67.27,63.86
21년04월29일,65.10,68.56,65.01
21년04월30일,65.27,67.25,63.58
21년05월03일,64.38,67.56,64.49
21년05월04일,65.83,68.88,65.69
21년05월05일,67.76,68.96,65.63
21년05월06일,67.17,68.09,64.71
21년05월07일,65.90,68.28,64.90
21년05월10일,66.74,68.32,64.92
21년05월11일,65.54,68.55,65.28
21년05월12일,66.56,69.32,66.08
21년05월13일,,67.05,63.82
21년05월14일,65.26,68.71,65.37
21년05월17일,67.17,69.46,66.27
21년05월18일,68.41,68.71,65.49
21년05월19일,66.11,66.66,63.36
21년05월20일,65.03,65.11,62.05
21년05월21일,63.25,66.44,63.58
21년05월24일,66.26,68.46,66.05
21년05월25일,67.37,68.65,66.07
21년05월26일,,68.87,66.21
21년05월27일,66.41,69.46,66.85
21년05월28일,67.41,69.63,66.32
21년05월31일,67.94,69.32,
21년06월01일,69.10,70.25,67.72
21년06월02일,69.21,71.35,68.83
21년06월03일,69.97,71.31,68.81
21년06월04일,70.10,71.89,69.62
21년06월07일,70.03,71.49,69.23
21년06월08일,69.34,72.22,70.05
21년06월09일,71.14,72.22,69.96
21년06월10일,70.71,72.52,70.29
21년06월11일,71.18,72.69,70.91
21년06월14일,72.01,72.86,70.88
21년06월15일,71.79,73.99,72.12
21년06월16일,72.78,74.39,72.15
21년06월17일,72.35,73.08,71.04
21년06월18일,70.98,73.51,71.64
21년06월21일,71.79,74.90,73.66
21년06월22일,72.52,74.81,73.06
21년06월23일,73.43,75.19,73.08
21년06월24일,73.73,75.56,73.30
21년06월25일,73.46,76.18,74.05
21년06월28일,73.88,74.68,72.91
21년06월29일,72.85,74.76,72.98
21년06월30일,72.87,75.13,73.47
21년07월01일,73.85,75.84,75.23
21년07월02일,74.09,76.17,75.16
21년07월05일,74.68,77.16,
21년07월06일,75.88,74.53,73.37
21년07월07일,73.29,73.43,72.20
21년07월08일,70.63,74.12,72.94
21년07월09일,73.03,75.55,74.56
21년07월12일,73.54,75.16,74.10
21년07월13일,74.36,76.49,75.25
21년07월14일,74.72,74.76,73.13
21년07월15일,72.23,73.47,71.65
21년07월16일,72.18,73.59,71.81
21년07월19일,71.68,68.62,66.42
21년07월20일,,69.35,67.42
21년07월21일,68.67,72.23,70.30
21년07월22일,71.43,73.79,71.91
21년07월23일,72.25,74.10,72.07
21년07월26일,71.59,74.50,71.91
21년07월27일,73.02,74.48,71.65
21년07월28일,72.82,74.74,72.39
21년07월29일,73.68,76.05,73.62
21년07월30일,73.90,76.33,73.95
21년08월02일,73.28,72.89,71.26
21년08월03일,71.88,72.41,70.56
21년08월04일,71.37,70.38,68.15
21년08월05일,68.80,71.29,69.09
21년08월06일,70.72,70.70,68.28
21년08월09일,,69.04,66.48
21년08월10일,68.91,70.63,68.29
21년08월11일,69.77,71.44,69.25
21년08월12일,70.52,71.31,69.09
21년08월13일,70.03,70.59,68.44
21년08월16일,68.90,69.51,67.29
21년08월17일,68.45,69.03,66.59
21년08월18일,68.58,68.23,65.46
21년08월19일,65.35,66.45,63.69
21년08월20일,65.37,65.18,62.32
21년08월23일,66.09,68.75,65.64
21년08월24일,68.70,71.05,67.54
21년08월25일,69.69,72.25,68.36
21년08월26일,70.11,71.07,67.42
21년08월27일,70.76,72.70,68.74
21년08월30일,71.13,73.41,69.21
21년08월31일,71.19,72.99,68.50
21년09월01일,70.43,71.59,68.59
21년09월02일,69.74,73.03,69.99
21년09월03일,71.26,72.61,69.29
21년09월06일,69.99,72.22,
21년09월07일,70.35,71.69,68.35
21년09월08일,69.78,72.60,69.30
21년09월09일,70.65,71.45,68.14
21년09월10일,70.85,72.92,69.72
21년09월13일,71.73,73.51,70.45
21년09월14일,72.29,73.60,70.46
21년09월15일,72.26,75.46,72.61
21년09월16일,73.09,75.67,72.61
21년09월17일,73.06,75.34,71.97
21년09월20일,72.13,73.92,70.29
21년09월21일,72.90,74.36,70.56
21년09월22일,73.30,76.19,72.23
21년09월23일,74.11,77.25,73.30
21년09월24일,74.77,78.09,73.98
21년09월27일,76.17,79.53,75.45
21년09월28일,77.34,79.09,75.29
21년09월29일,75.70,78.64,74.83
21년09월30일,75.92,78.52,75.03
21년10월01일,75.68,79.28,75.88
21년10월04일,77.17,81.26,77.62
21년10월05일,79.57,82.56,78.93
21년10월06일,80.55,81.08,77.43
21년10월07일,77.41,81.95,78.30
21년10월08일,81.23,82.39,79.35
21년10월11일,82.03,83.65,80.52
21년10월12일,82.07,83.42,80.64
21년10월13일,81.43,83.18,80.44
21년10월14일,82.28,84.00,81.31
21년10월15일,82.99,84.86,82.28
21년10월18일,83.89,84.33,82.44
21년10월19일,83.03,85.08,82.96
21년10월20일,82.56,85.82,83.87
21년10월21일,83.12,84.61,82.50
21년10월22일,82.57,85.53,83.76
21년10월25일,84.37,85.99,83.76
21년10월26일,83.94,86.40,84.65
21년10월27일,83.46,84.58,82.66
21년10월28일,81.91,84.32,82.81
21년10월29일,82.57,84.38,83.57
21년11월01일,81.99,84.71,84.05
21년11월02일,83.31,84.72,83.91
21년11월03일,81.89,81.99,80.86
21년11월04일,,80.54,78.81
21년11월05일,79.48,82.74,81.27
21년11월08일,81.99,83.43,81.93
21년11월09일,82.24,84.78,84.15
21년11월10일,83.97,82.64,81.34
21년11월11일,81.83,82.87,81.59
21년11월12일,81.57,82.17,80.79
21년11월15일,80.89,82.05,80.88
21년11월16일,81.96,82.43,80.76
21년11월17일,81.01,80.28,78.36
21년11월18일,78.66,81.24,79.01
21년11월19일,80.89,78.89,76.10
21년11월22일,78.42,79.70,76.75
21년11월23일,78.47,82.31,78.50
21년11월24일,81.86,82.25,78.39
21년11월25일,81.44,82.22,
21년11월26일,77.38,72.72,68.15
21년11월29일,75.17,73.44,69.95
21년11월30일,71.88,70.57,66.18
21년12월01일,71.13,68.87,65.57
21년12월02일,69.13,69.67,66.50
21년12월03일,70.79,69.88,66.26
21년12월06일,70.12,73.08,69.49
21년12월07일,73.22,75.44,72.05
21년12월08일,73.83,75.82,72.36
21년12월09일,74.48,74.42,70.94
21년12월10일,72.73,75.15,71.67
21년12월13일,74.11,74.39,71.29
21년12월14일,73.39,73.70,70.73
21년12월15일,72.01,73.88,70.87
21년12월16일,73.37,75.02,72.38
21년12월17일,73.36,73.52,70.86
21년12월20일,70.11,71.52,68.23
21년12월21일,70.56,73.98,71.12
21년12월22일,72.56,75.29,72.76
21년12월23일,73.54,76.85,73.79
21년12월24일,74.37,76.14,
21년12월27일,,78.60,75.57
21년12월28일,76.47,78.94,75.98
21년12월29일,76.91,79.23,76.56
21년12월30일,77.24,79.32,76.99
21년12월31일,77.12,77.78,75.21
22년01월03일,76.88,78.98,76.08
22년01월04일,77.51,80.00,76.99
22년01월05일,78.40,80.80,77.85
22년01월06일,78.83,81.99,79.46
22년01월07일,80.55,81.75,78.90
22년01월10일,80.36,80.87,78.23
22년01월11일,79.97,83.72,81.22
22년01월12일,82.19,84.67,82.64
22년01월13일,82.96,84.47,82.12
22년01월14일,83.75,86.06,83.82
22년01월17일,84.92,86.48,
22년01월18일,86.58,87.51,85.43
22년01월19일,86.37,88.44,86.96
22년01월20일,86.35,88.38,86.90
22년01월21일,85.14,87.89,85.14
22년01월24일,86.71,86.27,83.31
22년01월25일,84.86,88.20,85.60
22년01월26일,86.77,89.96,87.35
22년01월27일,87.80,89.34,86.61
22년01월28일,87.58,90.03,86.82
22년01월31일,88.39,91.21,88.15
22년02월01일,,89.16,88.20
22년02월02일,,89.47,88.26
22년02월03일,87.46,91.11,90.27
22년02월04일,90.22,93.27,92.31
22년02월07일,90.91,92.69,91.32
22년02월08일,90.42,90.78,89.36
22년02월09일,89.39,91.55,89.66
22년02월10일,90.60,91.41,89.88
22년02월11일,90.25,94.44,93.10
22년02월14일,92.72,96.48,95.46
22년02월15일,93.05,93.28,92.07
22년02월16일,92.60,94.81,93.66
22년02월17일,91.90,92.97,91.76
22년02월18일,90.30,93.54,91.07
22년02월21일,91.73,95.39,
22년02월22일,96.01,96.84,92.35
