연도,행정구역별,인구
1975,전국,34706620
1975,시부,16792771
1975,읍부,3723354
1975,면부,14187007
1975,서울특별시,6889502
1975,종로구,333970
1975,중구,284832
1975,동대문구,738231
1975,성동구,629539
1975,성북구,604732
1975,도봉구,631606
1975,서대문구,795911
1975,마포구,422494
1975,용산구,336510
1975,영등포구,1050901
1975,관악구,734393
1975,강남구,326321
1975,부산직할시,2453173
1975,중구,111847
1975,서구,368570
1975,동구,230704
1975,영도구,216342
1975,부산진구,603637
1975,동래구,569374
1975,남구,352666
1975,경기도,4039132
1975,시부,1649017
1975,읍부,487144
1975,면부,1902682
1975,인천시,800007
1975,중구,87505
1975,동구,177047
1975,남구,322279
1975,북구,213176
1975,수원시,224145
1975,성남시,272506
1975,의정부시,108350
1975,안양시,134848
1975,부천시,109161
1975,양주군,277986
1975,여주군,104546
1975,평택군,225077
1975,화성군,208171
1975,시흥군,206835
1975,파주군,166080
1975,고양군,143028
1975,광주군,95504
1975,연천군,67314
1975,포천군,114225
1975,가평군,70077
1975,양평군,107014
1975,이천군,113666
1975,용인군,111461
1975,안성군,132922
1975,김포군,91768
1975,강화군,103045
1975,옹진군,51237
1975,강원도,1861560
1975,시부,417174
1975,읍부,511959
1975,면부,932349
1975,춘천시,140530
1975,원주시,120276
1975,강릉시,84981
1975,속초시,71387
1975,춘성군,63751
1975,홍천군,120596
1975,횡성군,90916
1975,원성군,74140
1975,영월군,112588
1975,평창군,93115
1975,정선군,138507
1975,철원군,65647
1975,화천군,46025
1975,양구군,39007
1975,인제군,56561
1975,고성군,55498
1975,양양군,44644
1975,명주군,149068
1975,삼척군,294312
1975,충청북도,1522203
1975,시부,297981
1975,읍부,234912
1975,면부,989115
1975,청주시,192707
1975,충주시,105274
1975,청원군,199259
1975,보은군,97662
1975,옥천군,103057
1975,영동군,108996
1975,진천군,75710
1975,괴산군,140699
1975,음성군,111171
1975,중원군,127874
1975,제천군,169897
1975,단양군,89806
1975,충청남도,2948553
1975,시부,603474
1975,읍부,616112
1975,면부,1728718
1975,대전시,506708
1975,동부출장소,116485
1975,북부출장소,105329
1975,중부출장소,145109
1975,서부출장소,139785
1975,천안시,96766
1975,금산군,122707
1975,대덕군,132877
1975,연기군,105262
1975,공주군,183075
1975,논산군,226429
1975,부여군,174190
1975,서천군,140670
1975,보령군,157882
1975,청양군,85744
1975,홍성군,144086
1975,예산군,157294
1975,서산군,265702
1975,당진군,167816
1975,아산군,162302
1975,천원군,118991
1975,전라북도,2456403
1975,시부,583328
1975,읍부,253791
1975,면부,1619161
1975,전주시,311393
1975,군산시,154780
1975,이리시,117155
1975,완주군,168651
1975,진안군,95753
1975,무주군,71177
1975,장수군,73138
1975,임실군,104294
1975,남원군,175203
1975,순창군,91698
1975,정읍군,248193
1975,고창군,175197
1975,부안군,155805
1975,김제군,221414
1975,옥구군,117026
1975,익산군,175501
1975,전라남도,3984123
1975,시부,1038655
1975,읍부,446018
1975,면부,2499169
1975,광주시,607011
1975,동구,353387
1975,서구,253624
1975,목포시,192958
1975,여수시,130623
1975,순천시,108063
1975,광산군,130272
1975,담양군,108273
1975,곡성군,93104
1975,구례군,68703
1975,광양군,88561
1975,여천군,151402
1975,승주군,138476
1975,고흥군,217446
1975,보성군,152912
1975,화순군,130410
1975,장흥군,123924
1975,강진군,107499
1975,해남군,198881
1975,영암군,118620
1975,무안군,128060
1975,나주군,212246
1975,함평군,119167
1975,영광군,142623
1975,장성군,115859
1975,완도군,141070
1975,진도군,100380
1975,신안군,157502
1975,경상북도,4858551
1975,시부,1716059
1975,읍부,696898
1975,면부,2445169
1975,대구시,1310768
1975,중구,138674
1975,동구,326574
1975,서구,278237
1975,남구,330548
1975,북구,236735
1975,포항시,134418
1975,경주시,108431
1975,김천시,67078
1975,안동시,95364
1975,달성군,139920
1975,군위군,67286
1975,의성군,179570
1975,안동군,172078
1975,청송군,81539
1975,영양군,67851
1975,영덕군,108941
1975,영일군,194015
1975,월성군,179402
1975,영천군,184497
1975,경산군,175930
1975,청도군,103964
1975,고령군,63005
1975,성주군,99981
1975,칠곡군,119444
1975,금릉군,127446
1975,선산군,123421
1975,상주군,226278
1975,문경군,161095
1975,예천군,143529
1975,영주군,173977
1975,봉화군,114606
1975,울진군,105096
1975,울릉군,29479
1975,경상남도,3280052
1975,시부,1009327
1975,읍부,374124
1975,면부,1896410
1975,마산시,371917
1975,진주시,154646
1975,충무시,66838
1975,진해시,103640
1975,삼천포시,59716
1975,울산시,252570
1975,진양군,116415
1975,의령군,84187
1975,함안군,98984
1975,창녕군,137908
1975,밀양군,179287
1975,양산군,127485
1975,울주군,115964
1975,김해군,203428
1975,창원군,95827
1975,통영군,77215
1975,거제군,112982
1975,고성군,111822
1975,사천군,83997
1975,남해군,120903
1975,하동군,121204
1975,산청군,95928
1975,함양군,106433
1975,거창군,123889
1975,합천군,156827
1975,제주도,411732
1975,시부,135081
1975,읍부,102396
1975,면부,174234
1975,제주시,135081
1975,북제주군,116685
1975,남제주군,159961
