연도,행정구역별,인구
1970,전국,30882386
1970,시부,12709513
1970,읍부,2800456
1970,면부,15372417
1970,서울특별시,5433198
1970,종로구,211796
1970,중구,133880
1970,동대문구,724189
1970,성동구,803891
1970,성북구,963692
1970,서대문구,770527
1970,마포구,342650
1970,용산구,298343
1970,영등포구,1184230
1970,부산직할시,1842259
1970,중구,117240
1970,서구,321336
1970,동구,240014
1970,영도구,181607
1970,부산진구,615505
1970,동래구,366557
1970,경기도,3296950
1970,시부,894176
1970,읍부,398662
1970,면부,2004112
1970,인천시,634046
1970,중구,88377
1970,동구,173286
1970,남구,224790
1970,북구,147593
1970,수원시,167201
1970,의정부시,92929
1970,양주군,244722
1970,여주군,99135
1970,평택군,199700
1970,화성군,189604
1970,시흥군,183767
1970,부천군,145159
1970,파주군,188212
1970,고양군,130860
1970,광주군,138339
1970,연천군,58852
1970,포천군,124978
1970,가평군,68727
1970,양평군,104694
1970,이천군,104238
1970,용인군,94848
1970,안성군,130680
1970,김포군,76379
1970,강화군,105021
1970,옹진군,14859
1970,강원도,1837015
1970,시부,375612
1970,읍부,370302
1970,면부,1091101
1970,춘천시,120517
1970,원주시,110188
1970,강릉시,72920
1970,속초시,71987
1970,춘성군,85793
1970,홍천군,121975
1970,횡성군,92901
1970,원성군,89085
1970,영월군,121930
1970,평창군,95443
1970,정선군,112185
1970,철원군,58354
1970,화천군,49872
1970,양구군,38342
1970,인제군,60664
1970,고성군,62670
1970,양양군,46516
1970,명주군,152794
1970,삼척군,272879
1970,충청북도,1453899
1970,시부,227175
1970,읍부,154390
1970,면부,1072334
1970,청주시,141074
1970,충주시,86101
1970,청원군,199860
1970,보은군,100415
1970,옥천군,102590
1970,영동군,110506
1970,진천군,76664
1970,괴산군,142931
1970,음성군,110654
1970,중원군,131630
1970,제천군,159830
1970,단양군,91644
1970,충청남도,2808345
1970,시부,483453
1970,읍부,425642
1970,면부,1899250
1970,대전시,406910
1970,천안시,76543
1970,금산군,120492
1970,대덕군,119961
1970,연기군,101061
1970,공주군,181271
1970,논산군,238488
1970,부여군,175060
1970,서천군,146212
1970,보령군,146187
1970,청양군,90983
1970,홍성군,141207
1970,예산군,158213
1970,서산군,259339
1970,당진군,169646
1970,아산군,158104
1970,천원군,118668
1970,전라북도,2386381
1970,시부,452755
1970,읍부,221050
1970,면부,1712576
1970,전주시,257530
1970,군산시,110140
1970,이리시,85085
1970,완주군,170695
1970,진안군,94391
1970,무주군,71432
1970,장수군,74693
1970,임실군,106212
1970,남원군,176460
1970,순창군,94944
1970,정읍군,253671
1970,고창군,178285
1970,부안군,157533
1970,김제군,228749
1970,옥구군,137386
1970,익산군,189175
1970,전라남도,3932540
1970,시부,868137
1970,읍부,405556
1970,면부,2658847
1970,광주시,493634
1970,중부출장소,109121
1970,동부출장소,114676
1970,남부출장소,113020
1970,서부출장소,82946
1970,북부출장소,56501
1970,지산출장소,17370
1970,목포시,174006
1970,여수시,111455
1970,순천시,89042
1970,광산군,129121
1970,담양군,110412
1970,곡성군,97764
1970,구례군,73758
1970,광양군,92430
1970,여천군,154201
1970,승주군,143257
1970,고흥군,225065
1970,보성군,163907
1970,화순군,138534
1970,장흥군,133893
1970,강진군,115699
1970,해남군,210323
1970,영암군,125848
1970,무안군,129942
1970,신안군,163883
1970,나주군,222452
1970,함평군,125006
1970,영광군,144921
1970,장성군,117544
1970,완도군,143095
1970,진도군,103348
1970,경상북도,4476067
1970,시부,1367269
1970,읍부,427627
1970,면부,2681171
1970,대구시,1063553
1970,중구,146489
1970,동구,265301
1970,서구,267706
1970,남구,253267
1970,북구,130790
1970,포항시,77690
1970,경주시,90430
1970,김천시,60737
1970,안동시,74859
1970,달성군,127754
1970,군위군,68118
1970,의성군,182709
1970,안동군,176391
1970,청송군,81855
1970,영양군,67481
1970,영덕군,112373
1970,영일군,195256
1970,월성군,184438
1970,영천군,186523
1970,경산군,159560
1970,청도군,108914
1970,고령군,66265
1970,성주군,105148
1970,칠곡군,113440
1970,금릉군,130836
1970,선산군,105995
1970,상주군,230120
1970,문경군,155380
1970,예천군,145085
1970,영주군,157644
1970,봉화군,115038
1970,울진군,109475
1970,울릉군,23000
1970,경상남도,3057647
1970,시부,660986
1970,읍부,308979
1970,면부,2087682
1970,마산시,186890
1970,진주시,119371
1970,충무시,53955
1970,진해시,89867
1970,삼천포시,53815
1970,울산시,157088
1970,중앙출장소,71559
1970,장생포출장소,45930
1970,병영출장소,20370
1970,방어진출장소,19229
1970,진양군,129695
1970,의령군,91709
1970,함안군,107352
1970,창녕군,144144
1970,밀양군,191110
1970,양산군,57542
1970,울주군,113494
1970,동래군,55958
1970,김해군,191997
1970,창원군,163942
1970,통영군,78647
1970,거제군,109807
1970,고성군,118162
1970,사천군,87300
1970,남해군,124673
1970,하동군,128481
1970,산청군,101114
1970,함양군,110191
1970,거창군,123357
1970,합천군,167986
1970,제주도,358085
1970,시부,104493
1970,읍부,88248
1970,면부,165344
1970,제주시,104493
1970,북제주군,112612
1970,남제주군,140980
