연도,행정구역별,인구
2015,산청군,33014
2015,함양군,36541
2015,거창군,59238
2015,합천군,40642
2015,제주특별자치도,673107
2015,읍부,153891
2015,면부,35587
2015,동부,483629
2015,제주시,493869
2015,서귀포시,179238
