연도,행정구역별,인구
2000,전국,46136101
2000,읍부,3755782
2000,면부,5625175
2000,동부,36755144
2000,서울특별시,9895217
2000,종로구,170118
2000,중구,135173
2000,용산구,231484
2000,성동구,325251
2000,광진구,381568
2000,동대문구,367596
2000,중랑구,440863
2000,성북구,460511
2000,강북구,340765
2000,도봉구,352702
2000,노원구,606394
2000,은평구,442604
2000,서대문구,351625
2000,마포구,367220
2000,양천구,459643
2000,강서구,504480
2000,구로구,392541
2000,금천구,268586
2000,영등포구,390035
2000,동작구,401133
2000,관악구,505036
2000,서초구,368339
2000,강남구,523350
2000,송파구,633956
2000,강동구,474244
2000,부산광역시,3662884
2000,읍부,46450
2000,면부,21645
2000,동부,3594789
2000,중구,58297
2000,서구,147969
2000,동구,122087
2000,영도구,177899
2000,부산진구,416372
2000,동래구,289388
2000,남구,289747
2000,북구,298646
2000,해운대구,396505
2000,사하구,375398
2000,금정구,284414
2000,강서구,53730
2000,연제구,215321
2000,수영구,175478
2000,사상구,293538
2000,기장군,68095
2000,대구광역시,2480578
2000,읍부,103967
2000,면부,44585
2000,동부,2332026
2000,중구,86282
2000,동구,334752
2000,서구,283027
2000,남구,192276
2000,북구,400510
2000,수성구,448996
2000,달서구,586183
2000,달성군,148552
2000,인천광역시,2475139
2000,읍부,21618
2000,면부,52058
2000,동부,2401463
2000,중구,66642
2000,동구,72989
2000,남구,409945
2000,연수구,260289
2000,남동구,397491
2000,부평구,529569
2000,계양구,327020
2000,서구,337518
2000,강화군,60368
2000,옹진군,13308
2000,광주광역시,1352797
2000,동구,116519
2000,서구,280810
2000,남구,229491
2000,북구,477962
2000,광산구,248015
2000,대전광역시,1368207
2000,동구,247381
2000,중구,253990
2000,서구,470797
2000,유성구,162261
2000,대덕구,233778
2000,울산광역시,1014428
2000,읍부,46560
2000,면부,114424
2000,동부,853444
2000,중구,227455
2000,남구,324267
2000,동구,183468
2000,북구,118254
2000,울주군,160984
2000,경기도,8984134
2000,읍부,832646
2000,면부,1080947
2000,동부,7070541
2000,수원시,946704
2000,장안구,305761
2000,권선구,316176
2000,팔달구,324767
2000,성남시,914590
2000,수정구,259805
2000,중원구,271297
2000,분당구,383488
2000,의정부시,355380
2000,안양시,580544
2000,만안구,254814
2000,동안구,325730
2000,부천시,761389
2000,원미구,382213
2000,소사구,194871
2000,오정구,184305
2000,광명시,334089
2000,평택시,345306
2000,동두천시,73502
2000,안산시,562920
2000,고양시,763971
2000,덕양구,360877
2000,일산구,403094
2000,과천시,66706
2000,구리시,160839
2000,남양주시,340932
2000,오산시,102697
2000,시흥시,305268
2000,군포시,263760
2000,의왕시,117821
2000,하남시,120513
2000,용인시,386124
2000,파주시,178434
2000,이천시,179719
2000,안성시,133421
2000,김포시,150194
2000,양주군,110299
2000,여주군,97612
2000,화성군,189467
2000,광주군,125943
2000,연천군,49483
2000,포천군,138654
2000,가평군,52147
2000,양평군,75706
2000,강원도,1487011
2000,읍부,281721
2000,면부,329300
2000,동부,875990
2000,춘천시,252547
2000,원주시,268352
2000,강릉시,228232
2000,동해시,96679
2000,태백시,54196
2000,속초시,87985
2000,삼척시,75647
2000,홍천군,67210
2000,횡성군,40990
2000,영월군,43767
2000,평창군,41210
2000,정선군,46080
2000,철원군,48008
2000,화천군,22761
2000,양구군,21165
2000,인제군,30807
2000,고성군,32245
