연도,행정구역별,인구
1985,전국,40448486
1985,시부,26442980
1985,읍부,4817236
1985,면부,9188270
1985,서울특별시,9639110
1985,종로구,265897
1985,중구,209658
1985,용산구,326076
1985,성동구,751418
1985,동대문구,942617
1985,성북구,583791
1985,도봉구,846972
1985,은평구,441939
1985,서대문구,404582
1985,마포구,441810
1985,강서구,674270
1985,구로구,683968
1985,영등포구,446600
1985,동작구,405979
1985,관악구,556156
1985,강남구,771205
1985,강동구,886172
1985,부산직할시,3514798
1985,중구,91079
1985,서구,212270
1985,동구,197223
1985,영도구,210358
1985,부산진구,517568
1985,동래구,824836
1985,남구,528590
1985,북구,386010
1985,해운대구,224588
1985,사하구,271181
1985,강서출장소,51095
1985,대구직할시,2029853
1985,중구,183265
1985,동구,323154
1985,서구,558990
1985,남구,349394
1985,북구,332383
1985,수성구,282667
1985,인천직할시,1386911
1985,중구,83564
1985,동구,146413
1985,남구,617842
1985,북구,539092
1985,경기도,4794135
1985,시부,2213614
1985,읍부,1142266
1985,면부,1438255
1985,수원시,430752
1985,성남시,447692
1985,의정부시,162700
1985,안양시,361577
1985,부천시,456292
1985,광명시,219611
1985,송탄시,66357
1985,동두천시,68633
1985,양주군,74407
1985,남양주군,234805
1985,여주군,93347
1985,평택군,180513
1985,화성군,225941
1985,시흥군,163671
1985,파주군,164804
1985,고양군,183125
1985,광주군,151857
1985,연천군,64863
1985,포천군,108581
1985,가평군,57231
1985,양평군,85728
1985,이천군,124905
1985,용인군,153787
1985,안성군,121801
1985,김포군,110976
1985,강화군,83037
1985,옹진군,35398
1985,반월출장소,96616
1985,과천출장소,65128
1985,강원도,1724809
1985,시부,722239
1985,읍부,458717
1985,면부,543853
1985,춘천시,162988
1985,원주시,151165
1985,강릉시,132897
1985,동해시,91691
1985,태백시,113997
1985,속초시,69501
1985,춘성군,49962
1985,홍천군,90133
1985,횡성군,60517
1985,원성군,54253
1985,영월군,81869
1985,평창군,68594
1985,정선군,128696
1985,철원군,59589
1985,화천군,33701
1985,양구군,30836
1985,인제군,44200
1985,고성군,46490
1985,양양군,36487
1985,명주군,84312
1985,삼척군,132931
1985,충청북도,1391004
1985,시부,565861
1985,읍부,208944
1985,면부,616199
1985,청주시,350256
1985,충주시,113331
1985,제천시,102274
1985,청원군,141825
1985,보은군,68167
1985,옥천군,83491
1985,영동군,84759
1985,진천군,56778
1985,괴산군,108731
1985,음성군,83411
1985,중원군,85567
1985,제원군,49453
1985,단양군,62961
1985,충청남도,3001179
1985,시부,1036344
1985,읍부,727365
1985,면부,1237470
1985,대전시,866148
1985,동구,337884
1985,중구,485810
1985,유성출장소,42454
1985,천안시,170196
1985,금산군,95229
1985,대덕군,76864
1985,연기군,92636
1985,공주군,152218
1985,논산군,191998
1985,부여군,134636
1985,서천군,109837
1985,보령군,144877
1985,청양군,61410
1985,홍성군,120316
1985,예산군,139970
1985,서산군,235722
1985,당진군,147767
1985,아산군,158350
1985,천원군,103005
1985,전라북도,2202078
1985,시부,945161
1985,읍부,277273
1985,면부,979644
1985,전주시,426473
1985,군산시,185649
1985,이리시,192269
1985,정주시,79323
1985,남원시,61447
1985,완주군,136950
1985,진안군,63232
1985,무주군,47338
1985,장수군,47390
1985,임실군,68478
1985,남원군,78789
1985,순창군,60582
1985,정읍군,120461
1985,고창군,125223
1985,부안군,114291
1985,김제군,170990
1985,옥구군,95264
1985,익산군,127929
1985,전라남도,3748428
1985,시부,1494769
1985,읍부,643934
1985,면부,1609725
1985,광주시,905896
1985,동구,222814
1985,서구,383153
1985,북구,299929
1985,목포시,236085
1985,여수시,171933
1985,순천시,121958
1985,금성시,58897
1985,광산군,136612
1985,담양군,84773
1985,곡성군,63826
1985,구례군,49507
1985,광양군,90841
1985,여천군,87242
1985,승주군,123244
1985,고흥군,160857
1985,보성군,121608
1985,화순군,91998
1985,장흥군,89626
1985,강진군,79120
1985,해남군,150794
1985,영암군,86287
1985,무안군,102691
1985,나주군,108030
1985,함평군,78178
1985,영광군,114097
1985,장성군,81631
1985,완도군,111205
1985,진도군,72797
1985,신안군,115025
1985,여천출장소,53670
1985,경상북도,3010945
1985,시부,859352
1985,읍부,719144
1985,면부,1432449
1985,포항시,260691
1985,경주시,127544
1985,김천시,77254
1985,안동시,114216
1985,구미시,142094
1985,영주시,84742
1985,영천시,52811
1985,달성군,80314
1985,군위군,44699
1985,의성군,122664
1985,안동군,107265
1985,청송군,56225
1985,영양군,43463
1985,영덕군,77590
1985,영일군,158936
1985,월성군,147259
1985,영천군,87188
1985,경산군,139652
1985,청도군,72791
1985,고령군,41188
1985,성주군,64651
1985,칠곡군,79814
1985,금릉군,86009
1985,선산군,66929
1985,상주군,180575
1985,문경군,139731
1985,예천군,98495
1985,영풍군,72550
1985,봉화군,78557
1985,울진군,87767
1985,울릉군,17281
1985,경상남도,3516660
1985,시부,1749746
1985,읍부,479915
1985,면부,1286999
1985,울산시,551014
1985,중구,206579
1985,남구,196019
1985,방어진출장소,148416
1985,마산시,448746
1985,진주시,227309
1985,창원시,173508
1985,진해시,121341
1985,충무시,87459
1985,삼천포시,62466
1985,김해시,77903
1985,진양군,83503
1985,의령군,55745
1985,함안군,71346
1985,창녕군,99116
1985,밀양군,151739
1985,양산군,142475
1985,울주군,118699
1985,김해군,95296
1985,의창군,74889
1985,통영군,58392
1985,거제군,173658
1985,고성군,82628
1985,사천군,62665
1985,남해군,89932
1985,하동군,83301
1985,산청군,62976
1985,함양군,70367
1985,거창군,91553
1985,합천군,98634
1985,제주도,488576
1985,시부,285222
1985,읍부,159678
1985,면부,43676
1985,제주시,202911
1985,서귀포시,82311
1985,북제주군,114139
1985,남제주군,89215
