연도,행정구역별,인구
1980,전국,37436315
1980,시부,21434116
1980,읍부,4539666
1980,면부,11462533
1980,서울특별시,8364379
1980,종로구,292483
1980,중구,242584
1980,용산구,333525
1980,성동구,687707
1980,동대문구,848081
1980,성북구,588759
1980,도봉구,753302
1980,은평구,382891
1980,서대문구,419541
1980,마포구,432814
1980,강서구,501182
1980,구로구,568737
1980,영등포구,431992
1980,동작구,392916
1980,관악구,501624
1980,강남구,474880
1980,강동구,511361
1980,부산직할시,3159766
1980,중구,98525
1980,서구,235165
1980,동구,217585
1980,영도구,213215
1980,부산진구,506161
1980,동래구,677076
1980,남구,467932
1980,북구,338453
1980,해운대구,196807
1980,사하출장소,208847
1980,경기도,4933862
1980,시부,2379422
1980,읍부,933316
1980,면부,1621124
1980,인천시,1083906
1980,중구,84252
1980,동구,162487
1980,남구,487025
1980,북구,350142
1980,수원시,310476
1980,성남시,376840
1980,의정부시,133177
1980,안양시,253560
1980,부천시,221463
1980,양주군,133924
1980,남양주군,191479
1980,여주군,98236
1980,평택군,234356
1980,화성군,217090
1980,시흥군,288913
1980,파주군,165098
1980,고양군,155601
1980,광주군,106746
1980,연천군,67054
1980,포천군,109118
1980,가평군,62007
1980,양평군,93408
1980,이천군,109219
1980,용인군,135572
1980,안성군,127934
1980,김포군,96876
1980,강화군,90828
1980,옹진군,39841
1980,반월출장소,31140
1980,강원도,1790954
1980,시부,579122
1980,읍부,521588
1980,면부,690244
1980,춘천시,155305
1980,원주시,136909
1980,동해시,104310
1980,강릉시,116806
1980,속초시,65792
1980,춘성군,55713
1980,홍천군,101006
1980,횡성군,71483
1980,원성군,61741
1980,영월군,95506
1980,평창군,78699
1980,정선군,133843
1980,철원군,64375
1980,화천군,38541
1980,양구군,33689
1980,인제군,47766
1980,고성군,49225
1980,양양군,42220
1980,명주군,86573
1980,삼척군,251452
1980,충청북도,1424083
1980,시부,451807
1980,읍부,189768
1980,면부,782508
1980,청주시,253192
1980,충주시,113098
1980,제천시,85517
1980,청원군,173454
1980,보은군,80929
1980,옥천군,91289
1980,영동군,95073
1980,진천군,64130
1980,괴산군,117642
1980,음성군,96342
1980,중원군,104056
1980,제원군,76456
1980,단양군,72905
1980,충청남도,2956214
1980,시부,772318
1980,읍부,692145
1980,면부,1491751
1980,대전시,651792
1980,동구,272812
1980,중구,378980
1980,천안시,120526
1980,금산군,103989
1980,대덕군,152162
1980,연기군,97357
1980,공주군,167379
1980,논산군,207292
1980,부여군,153769
1980,서천군,129512
1980,보령군,151243
1980,청양군,72697
1980,홍성군,132194
1980,예산군,147725
1980,서산군,249281
1980,당진군,150825
1980,아산군,157979
1980,천원군,110492
1980,전라북도,2287689
1980,시부,677821
1980,읍부,347280
1980,면부,1262588
1980,전주시,367161
1980,군산시,165317
1980,이리시,145343
1980,완주군,152268
1980,진안군,78485
1980,무주군,56660
1980,장수군,57820
1980,임실군,83973
1980,남원군,155088
1980,순창군,73635
1980,정읍군,220950
1980,고창군,144961
1980,부안군,131013
1980,김제군,193188
1980,옥구군,105858
1980,익산군,155969
1980,전라남도,3779736
1980,시부,1224643
1980,읍부,511143
1980,면부,2043950
1980,광주시,727600
1980,동구,213761
1980,서구,289945
1980,북구,223894
1980,목포시,221814
1980,여수시,160988
1980,순천시,114241
1980,광산군,128945
1980,담양군,91141
1980,곡성군,75101
1980,구례군,57967
1980,광양군,78635
1980,여천군,101440
1980,승주군,123918
1980,고흥군,191639
1980,보성군,127531
1980,화순군,107405
1980,장흥군,112961
1980,강진군,91811
1980,해남군,168689
1980,영암군,100037
1980,무안군,115327
1980,나주군,186005
1980,함평군,96358
1980,영광군,119600
1980,장성군,94869
1980,완도군,126762
1980,진도군,83424
1980,신안군,130979
1980,여천출장소,44549
1980,경상북도,4954559
1980,시부,2285412
1980,읍부,780491
1980,면부,1888656
1980,대구시,1604934
1980,중구,218964
1980,동구,248878
1980,서구,391799
1980,남구,267448
1980,북구,273327
1980,수성구,204518
1980,포항시,201174
1980,경주시,121999
1980,김천시,72196
1980,안동시,101903
1980,구미시,105360
1980,영주시,77846
1980,달성군,161926
1980,군위군,53460
1980,의성군,146063
1980,안동군,135655
1980,청송군,64520
1980,영양군,52733
1980,영덕군,91206
1980,영일군,195209
1980,월성군,167235
1980,영천군,157859
1980,경산군,190762
1980,청도군,85533
1980,고령군,48953
1980,성주군,77355
1980,칠곡군,110959
1980,금릉군,105743
1980,선산군,72040
1980,상주군,191716
1980,문경군,147242
1980,예천군,120231
1980,영풍군,85551
1980,봉화군,97513
1980,울진군,90723
1980,울릉군,18960
1980,경상남도,3322132
1980,시부,1371707
1980,읍부,451859
1980,면부,1498566
1980,마산시,386751
1980,울산시,418326
1980,진주시,202717
1980,창원시,111676
1980,진해시,112024
1980,충무시,75510
1980,삼천포시,64703
1980,진양군,100806
1980,의령군,64175
1980,함안군,80353
1980,창녕군,115836
1980,밀양군,161564
1980,양산군,143102
1980,울주군,116909
1980,김해군,166321
1980,의창군,87826
1980,통영군,65636
1980,거제군,109641
1980,고성군,92911
1980,사천군,70893
1980,남해군,103123
1980,하동군,97618
1980,산청군,72889
1980,함양군,82782
1980,거창군,102355
1980,합천군,115685
1980,제주도,462941
1980,시부,167719
1980,읍부,112076
1980,면부,183146
1980,제주시,167719
1980,북제주군,122397
1980,남제주군,172825
