연도,행정구역별,인구
1990,전국,43410899
1990,시부,32308970
1990,읍부,3603647
1990,면부,7498282
1990,서울특별시,10612577
1990,종로구,243331
1990,중구,188118
1990,용산구,303022
1990,성동구,799039
1990,동대문구,503394
1990,중랑구,448390
1990,성북구,551540
1990,도봉구,671795
1990,노원구,480004
1990,은평구,469891
1990,서대문구,387089
1990,마포구,435630
1990,양천구,490500
1990,강서구,391139
1990,구로구,748072
1990,영등포구,470109
1990,동작구,403724
1990,관악구,574255
1990,서초구,395699
1990,강남구,491062
1990,송파구,634338
1990,강동구,532436
1990,부산직할시,3798113
1990,중구,77362
1990,서구,203499
1990,동구,184350
1990,영도구,204557
1990,부산진구,515019
1990,동래구,596556
1990,남구,548126
1990,북구,477127
1990,해운대구,250686
1990,사하구,342738
1990,금정구,318833
1990,강서구,79260
1990,대구직할시,2229040
1990,중구,153001
1990,동구,359707
1990,서구,406439
1990,남구,276995
1990,북구,321629
1990,수성구,351713
1990,달서구,359556
1990,인천직할시,1817919
1990,중구,81603
1990,동구,124276
1990,남구,457883
1990,남동구,307066
1990,서구,230273
1990,북구,616818
1990,광주직할시,1139003
1990,동구,191843
1990,서구,472336
1990,북구,353063
1990,광산구,121761
1990,대전직할시,1049578
1990,동구,302551
1990,중구,293823
1990,서구,211698
1990,유성구,79305
1990,대덕구,162201
1990,경기도,6155632
1990,시부,4077608
1990,읍부,912821
1990,면부,1165203
1990,수원시,644805
1990,장안구,314847
1990,권선구,329958
1990,성남시,540754
1990,수정구,265242
1990,중원구,275512
1990,의정부시,212352
1990,안양시,481291
1990,만안출장소,257804
1990,동안출장소,223487
1990,부천시,667993
1990,중구,336742
1990,남구,331251
1990,광명시,328593
1990,평택시,79152
1990,동두천시,71449
1990,안산시,252418
1990,과천시,72353
1990,구리시,109374
1990,오산시,59482
1990,시흥시,107176
1990,군포시,100059
1990,의왕시,96892
1990,하남시,101325
1990,양주군,84672
1990,여주군,96895
1990,화성군,187370
1990,파주군,185028
1990,광주군,76593
1990,연천군,61287
1990,포천군,110958
1990,가평군,50957
1990,양평군,77166
1990,이천군,148719
1990,용인군,187993
1990,안성군,118285
1990,김포군,114583
1990,송탄시,77445
1990,미금시,74695
1990,남양주군,125617
1990,평택군,115229
1990,고양군,244975
1990,강화군,71612
1990,옹진군,20085
1990,강원도,1580430
1990,시부,783738
1990,읍부,343833
1990,면부,452859
1990,춘천시,174224
1990,원주시,162415
1990,강릉시,152678
1990,동해시,89162
1990,태백시,89779
1990,속초시,73805
1990,삼척시,41675
1990,홍천군,77799
1990,횡성군,48489
1990,영월군,64600
1990,평창군,53259
1990,정선군,88377
1990,철원군,52591
1990,화천군,28883
1990,양구군,28495
1990,인제군,36603
1990,고성군,40901
1990,양양군,35643
1990,춘성군,43645
1990,원주군,52164
1990,명주군,76361
1990,삼척군,68882
1990,충청북도,1389686
1990,시부,706082
1990,읍부,204278
1990,면부,479326
1990,청주시,477783
1990,동부출장소,211162
1990,서부출장소,266621
1990,충주시,128425
1990,제천시,99874
1990,청원군,114647
1990,보은군,52271
1990,옥천군,70130
1990,영동군,76818
1990,진천군,49259
1990,괴산군,93071
1990,음성군,74700
1990,단양군,49634
1990,중원군,65183
1990,제원군,37891
1990,충청남도,2013926
1990,시부,467444
1990,읍부,480532
1990,면부,1065950
1990,천안시,211363
1990,공주시,65190
1990,서산시,55943
1990,금산군,84064
1990,연기군,90502
1990,논산군,175752
1990,부여군,116908
1990,서천군,100545
1990,청양군,53750
1990,홍성군,105399
1990,예산군,128727
1990,태안군,83493
1990,당진군,131763
1990,계룡출장소,11684
1990,대천시,56918
1990,온양시,66346
1990,공주군,92877
1990,보령군,89090
1990,서산군,92595
1990,아산군,98643
1990,천원군,102374
1990,전라북도,2069960
1990,시부,1143847
1990,읍부,163997
1990,면부,762116
1990,전주시,517059
1990,완산구,246480
1990,덕진구,270579
1990,군산시,218205
1990,남원시,63157
1990,김제시,55138
1990,완주군,88354
1990,진안군,44755
1990,무주군,37188
1990,장수군,34172
1990,임실군,48338
1990,순창군,45466
1990,고창군,95732
1990,부안군,102823
1990,이리시,203382
1990,정주시,86906
1990,남원군,61367
1990,정읍군,98417
1990,김제군,94653
1990,옥구군,68850
1990,익산군,105998
1990,전라남도,2507439
1990,시부,767423
1990,읍부,495691
1990,면부,1244325
1990,목포시,243064
1990,여수시,173169
1990,순천시,167214
1990,나주시,55306
1990,여천시,63823
1990,담양군,73855
1990,곡성군,49707
1990,구례군,41398
1990,여천군,68540
1990,고흥군,134294
1990,보성군,106742
1990,화순군,86697
1990,장흥군,68284
1990,강진군,70592
1990,해남군,134279
1990,영암군,68833
1990,무안군,90498
1990,함평군,63091
1990,영광군,85483
1990,장성군,61838
1990,완도군,85751
1990,진도군,54609
1990,신안군,102409
1990,동광양시,64847
1990,광양군,85444
1990,승주군,104344
1990,나주군,103328
1990,경상북도,2860595
1990,시부,1157512
1990,읍부,500847
1990,면부,1202236
1990,포항시,317768
1990,경주시,141896
1990,김천시,81346
1990,안동시,116958
1990,구미시,206121
1990,영주시,84361
1990,영천시,48888
1990,상주시,51868
1990,경산시,60504
1990,군위군,36875
1990,의성군,96897
1990,청송군,43756
1990,영양군,31170
1990,영덕군,65415
1990,청도군,60515
1990,고령군,35280
1990,성주군,53082
1990,칠곡군,78943
1990,예천군,79183
1990,봉화군,58168
1990,울진군,69990
1990,울릉군,15283
1990,점촌시,47802
1990,안동군,80270
1990,영일군,165068
1990,경주군,125595
1990,영천군,71677
1990,경산군,84570
1990,금릉군,70649
1990,선산군,62425
1990,상주군,96332
1990,문경군,71614
1990,영풍군,56528
1990,달성군,93798
1990,경상남도,3672396
1990,시부,2238156
1990,읍부,352841
1990,면부,1081399
1990,창원시,323223
1990,마산시,493731
1990,합포구,237548
1990,회원구,256183
1990,진주시,255695
1990,진해시,120212
1990,김해시,106206
1990,밀양시,53067
1990,의령군,48987
1990,함안군,59809
1990,창녕군,84175
1990,양산군,159869
1990,고성군,67657
1990,남해군,71500
1990,하동군,65870
1990,산청군,50179
1990,함양군,55014
1990,거창군,77580
1990,합천군,72657
1990,충무시,92177
1990,삼천포시,62831
1990,장승포시,48603
1990,진양군,73005
1990,밀양군,79976
1990,울주군,122944
1990,김해군,78933
1990,의창군,72214
1990,통영군,46188
1990,거제군,94581
1990,사천군,53102
1990,울산시,682411
1990,중구,257526
1990,남구,256180
1990,동구,168705
1990,제주도,514605
1990,시부,320930
1990,읍부,148807
1990,면부,44868
1990,제주시,232643
1990,서귀포시,88287
1990,북제주군,108839
1990,남제주군,84836
