"행정구역별(읍면동)","연령별","항목","단위","2021 년",
"종로구","75~79세","총인구_남자(명)","","2164",
"종로구","75~79세","총인구_여자(명)","","2957",
"종로구","80~84세","총인구(명)","","3754",
"종로구","80~84세","총인구_남자(명)","","1552",
"종로구","80~84세","총인구_여자(명)","","2202",
"종로구","85~89세","총인구(명)","","1813",
"종로구","85~89세","총인구_남자(명)","","684",
"종로구","85~89세","총인구_여자(명)","","1129",
"종로구","90~94세","총인구(명)","","671",
"종로구","90~94세","총인구_남자(명)","","182",
"종로구","90~94세","총인구_여자(명)","","489",
"종로구","95~99세","총인구(명)","","153",
"종로구","95~99세","총인구_남자(명)","","51",
"종로구","95~99세","총인구_여자(명)","","102",
"종로구","100세이상","총인구(명)","","21",
"종로구","100세이상","총인구_남자(명)","","9",
"종로구","100세이상","총인구_여자(명)","","12",
"종로구","15세미만","총인구(명)","","11417",
"종로구","15세미만","총인구_남자(명)","","5721",
"종로구","15세미만","총인구_여자(명)","","5696",
"종로구","15~64세","총인구(명)","","111581",
"종로구","15~64세","총인구_남자(명)","","54236",
"종로구","15~64세","총인구_여자(명)","","57345",
"종로구","65세이상","총인구(명)","","25859",
"종로구","65세이상","총인구_남자(명)","","11410",
"종로구","65세이상","총인구_여자(명)","","14449",
"종로구","85세이상","총인구(명)","","2658",
"종로구","85세이상","총인구_남자(명)","","926",
"종로구","85세이상","총인구_여자(명)","","1732",
"종로구","평균연령","총인구(명)","","43.9",
"종로구","평균연령","총인구_남자(명)","","43.4",
"종로구","평균연령","총인구_여자(명)","","44.4",
"종로구","중위연령","총인구(명)","","43.9",
"종로구","중위연령","총인구_남자(명)","","43.3",
"종로구","중위연령","총인구_여자(명)","","44.4",
"중구","합계","총인구(명)","","126310",
"중구","합계","총인구_남자(명)","","60657",
"중구","합계","총인구_여자(명)","","65653",
"중구","0~4세","총인구(명)","","3118",
"중구","0~4세","총인구_남자(명)","","1624",
"중구","0~4세","총인구_여자(명)","","1494",
"중구","5~9세","총인구(명)","","3368",
"중구","5~9세","총인구_남자(명)","","1744",
"중구","5~9세","총인구_여자(명)","","1624",
"중구","10~14세","총인구(명)","","2913",
"중구","10~14세","총인구_남자(명)","","1451",
"중구","10~14세","총인구_여자(명)","","1462",
"중구","15~19세","총인구(명)","","3663",
"중구","15~19세","총인구_남자(명)","","1650",
"중구","15~19세","총인구_여자(명)","","2013",
"중구","20~24세","총인구(명)","","9468",
"중구","20~24세","총인구_남자(명)","","4040",
"중구","20~24세","총인구_여자(명)","","5428",
"중구","25~29세","총인구(명)","","12170",
"중구","25~29세","총인구_남자(명)","","5818",
"중구","25~29세","총인구_여자(명)","","6352",
"중구","30~34세","총인구(명)","","11071",
"중구","30~34세","총인구_남자(명)","","5530",
"중구","30~34세","총인구_여자(명)","","5541",
"중구","35~39세","총인구(명)","","10223",
"중구","35~39세","총인구_남자(명)","","5188",
"중구","35~39세","총인구_여자(명)","","5035",
"중구","40~44세","총인구(명)","","8925",
"중구","40~44세","총인구_남자(명)","","4618",
"중구","40~44세","총인구_여자(명)","","4307",
"중구","45~49세","총인구(명)","","8627",
"중구","45~49세","총인구_남자(명)","","4356",
"중구","45~49세","총인구_여자(명)","","4271",
"중구","50~54세","총인구(명)","","10293",
"중구","50~54세","총인구_남자(명)","","5031",
"중구","50~54세","총인구_여자(명)","","5262",
"중구","55~59세","총인구(명)","","9840",
"중구","55~59세","총인구_남자(명)","","4853",
"중구","55~59세","총인구_여자(명)","","4987",
"중구","60~64세","총인구(명)","","9996",
"중구","60~64세","총인구_남자(명)","","4869",
"중구","60~64세","총인구_여자(명)","","5127",
"중구","65~69세","총인구(명)","","7770",
"중구","65~69세","총인구_남자(명)","","3701",
"중구","65~69세","총인구_여자(명)","","4069",
"중구","70~74세","총인구(명)","","5484",
"중구","70~74세","총인구_남자(명)","","2535",
"중구","70~74세","총인구_여자(명)","","2949",
"중구","75~79세","총인구(명)","","4291",
"중구","75~79세","총인구_남자(명)","","1832",
"중구","75~79세","총인구_여자(명)","","2459",
"중구","80~84세","총인구(명)","","2999",
"중구","80~84세","총인구_남자(명)","","1180",
"중구","80~84세","총인구_여자(명)","","1819",
"중구","85~89세","총인구(명)","","1442",
"중구","85~89세","총인구_남자(명)","","457",
"중구","85~89세","총인구_여자(명)","","985",
"중구","90~94세","총인구(명)","","530",
"중구","90~94세","총인구_남자(명)","","152",
"중구","90~94세","총인구_여자(명)","","378",
"중구","95~99세","총인구(명)","","105",
"중구","95~99세","총인구_남자(명)","","23",
"중구","95~99세","총인구_여자(명)","","82",
"중구","100세이상","총인구(명)","","14",
"중구","100세이상","총인구_남자(명)","","5",
"중구","100세이상","총인구_여자(명)","","9",
"중구","15세미만","총인구(명)","","9399",
"중구","15세미만","총인구_남자(명)","","4819",
"중구","15세미만","총인구_여자(명)","","4580",
"중구","15~64세","총인구(명)","","94276",
"중구","15~64세","총인구_남자(명)","","45953",
"중구","15~64세","총인구_여자(명)","","48323",
"중구","65세이상","총인구(명)","","22635",
"중구","65세이상","총인구_남자(명)","","9885",
"중구","65세이상","총인구_여자(명)","","12750",
"중구","85세이상","총인구(명)","","2091",
"중구","85세이상","총인구_남자(명)","","637",
"중구","85세이상","총인구_여자(명)","","1454",
"중구","평균연령","총인구(명)","","44.6",
"중구","평균연령","총인구_남자(명)","","44",
"중구","평균연령","총인구_여자(명)","","45.1",
"중구","중위연령","총인구(명)","","43.9",
"중구","중위연령","총인구_남자(명)","","43.4",
"중구","중위연령","총인구_여자(명)","","44.5",
"용산구","합계","총인구(명)","","221688",
"용산구","합계","총인구_남자(명)","","106910",
"용산구","합계","총인구_여자(명)","","114778",
"용산구","0~4세","총인구(명)","","6610",
"용산구","0~4세","총인구_남자(명)","","3408",
"용산구","0~4세","총인구_여자(명)","","3202",
"용산구","5~9세","총인구(명)","","7574",
"용산구","5~9세","총인구_남자(명)","","3869",
"용산구","5~9세","총인구_여자(명)","","3705",
"용산구","10~14세","총인구(명)","","6756",
"용산구","10~14세","총인구_남자(명)","","3381",
"용산구","10~14세","총인구_여자(명)","","3375",
"용산구","15~19세","총인구(명)","","7084",
"용산구","15~19세","총인구_남자(명)","","3525",
"용산구","15~19세","총인구_여자(명)","","3559",
"용산구","20~24세","총인구(명)","","13666",
