연도,행정구역별,인구
2005,전국,47278951
2005,동부,38514753
2005,읍부,3943827
2005,면부,4820371
2005,서울특별시,9820171
2005,종로구,156018
2005,중구,128443
2005,용산구,217708
2005,성동구,327566
2005,광진구,366746
2005,동대문구,373232
2005,중랑구,413760
2005,성북구,442426
2005,강북구,339147
2005,도봉구,368716
2005,노원구,604161
2005,은평구,447611
2005,서대문구,343593
2005,마포구,373057
2005,양천구,474247
2005,강서구,538997
2005,구로구,406299
2005,금천구,252446
2005,영등포구,398251
2005,동작구,409519
2005,관악구,530833
2005,서초구,372795
2005,강남구,510221
2005,송파구,579040
2005,강동구,445339
2005,부산광역시,3523582
2005,동부,3450551
2005,읍부,55887
2005,면부,17144
2005,중구,52446
2005,서구,133014
2005,동구,103658
2005,영도구,158117
2005,부산진구,399162
2005,동래구,261982
2005,남구,294034
2005,북구,329336
2005,해운대구,393718
2005,사하구,360007
2005,금정구,259168
2005,강서구,46638
2005,연제구,211799
2005,수영구,172673
2005,사상구,274799
2005,기장군,73031
2005,대구광역시,2464547
2005,동부,2313792
2005,읍부,110434
2005,면부,40321
2005,중구,74765
2005,동구,334298
2005,서구,244276
2005,남구,180260
2005,북구,460206
2005,수성구,426110
2005,달서구,593877
2005,달성군,150755
2005,인천광역시,2531280
2005,동부,2461218
2005,읍부,19920
2005,면부,50142
2005,중구,86167
2005,동구,74602
2005,남구,414395
2005,연수구,263650
2005,남동구,373720
2005,부평구,548068
2005,계양구,326485
2005,서구,374131
2005,강화군,57791
2005,옹진군,12271
2005,광주광역시,1417716
2005,동구,120300
2005,서구,313863
2005,남구,214532
2005,북구,460868
2005,광산구,308153
2005,대전광역시,1442856
2005,동구,232673
2005,중구,255962
2005,서구,509420
2005,유성구,222649
2005,대덕구,222152
2005,울산광역시,1049177
2005,동부,883812
2005,읍부,104188
2005,면부,61177
2005,중구,226115
2005,남구,338040
2005,동구,178353
2005,북구,141304
2005,울주군,165365
2005,경기도,10415399
2005,동부,8608876
2005,읍부,991599
2005,면부,814924
2005,수원시,1044113
2005,장안구,286249
2005,권선구,291446
2005,팔달구,216331
2005,영통구,250087
2005,성남시,934984
2005,수정구,255482
2005,중원구,261286
2005,분당구,418216
2005,의정부시,398870
2005,안양시,612423
2005,만안구,263445
2005,동안구,348978
2005,부천시,838801
2005,원미구,435638
2005,소사구,218503
2005,오정구,184660
2005,광명시,320268
2005,평택시,378438
2005,동두천시,80277
2005,안산시,681590
2005,상록구,354964
2005,단원구,326626
2005,고양시,866846
2005,덕양구,376628
2005,일산동구,214648
2005,일산서구,275570
2005,과천시,56711
2005,구리시,187414
2005,남양주시,426087
2005,오산시,132532
2005,시흥시,389638
2005,군포시,270042
2005,의왕시,143987
2005,하남시,122337
2005,용인시,689691
2005,처인구,191762
2005,기흥구,230538
2005,수지구,267391
2005,파주시,242241
2005,이천시,188556
2005,안성시,159198
2005,김포시,195776
2005,화성시,288718
2005,광주시,206304
2005,양주시,152007
2005,포천시,142189
2005,여주군,98905
2005,연천군,41561
2005,가평군,49581
2005,양평군,75314
2005,강원도,1464559
2005,동부,894695
2005,읍부,262631
2005,면부,307233
2005,춘천시,260887
2005,원주시,284360
2005,강릉시,221329
2005,동해시,93183
2005,태백시,55344
2005,속초시,84908
2005,삼척시,68116
2005,홍천군,66837
2005,횡성군,38821
2005,영월군,37085
2005,평창군,38591
2005,정선군,41129
2005,철원군,43548
2005,화천군,21718
2005,양구군,19460
2005,인제군,30469
2005,고성군,29157
2005,양양군,29617
2005,충청북도,1460453
2005,동부,906993
2005,읍부,212403
2005,면부,341057
2005,청주시,642805
2005,상당구,257961
2005,흥덕구,384844
2005,충주시,204800
2005,제천시,132864
2005,청원군,112728
2005,보은군,32516
2005,옥천군,51922
2005,영동군,49563
2005,진천군,58681
2005,괴산군,32304
2005,음성군,82970
2005,단양군,30528
2005,증평군,28772
2005,충청남도,1889495
2005,동부,703946
2005,읍부,456600
2005,면부,728949
2005,천안시,521887
2005,공주시,127076
2005,보령시,97176
2005,아산시,208415
2005,서산시,144091
2005,논산시,125332
2005,계룡시,31699
2005,금산군,53570
2005,연기군,80818
2005,부여군,73464
2005,서천군,57875
2005,청양군,31316
2005,홍성군,82793
2005,예산군,81977
2005,태안군,58739
2005,당진군,113267
2005,전라북도,1784013
2005,동부,1239698
2005,읍부,132755
2005,면부,411560
2005,전주시,623298
2005,완산구,349020
2005,덕진구,274278
2005,군산시,250011
2005,익산시,308144
2005,정읍시,115760
2005,남원시,86052
2005,김제시,90652
2005,완주군,79541
2005,진안군,23992
2005,무주군,22393
2005,장수군,20567
2005,임실군,25757
2005,순창군,26331
2005,고창군,56182
2005,부안군,55333
2005,전라남도,1819819
2005,동부,791595
2005,읍부,402668
2005,면부,625556
2005,목포시,244888
2005,여수시,277995
2005,순천시,262120
2005,나주시,87212
2005,광양시,135881
2005,담양군,43574
2005,곡성군,29742
2005,구례군,24745
2005,고흥군,72700
2005,보성군,45964
2005,화순군,67948
2005,장흥군,40044
2005,강진군,36648
2005,해남군,74086
2005,영암군,61256
2005,무안군,54458
2005,함평군,36188
2005,영광군,60462
2005,장성군,42029
2005,완도군,51325
2005,진도군,32091
2005,신안군,38463
2005,경상북도,2607641
2005,동부,1358743
2005,읍부,555795
2005,면부,693103
2005,포항시,489698
2005,포항시 남구,247713
2005,포항시 북구,241985
2005,경주시,267872
2005,김천시,135923
2005,안동시,169788
2005,구미시,383786
2005,영주시,114081
2005,영천시,104012
2005,상주시,105937
2005,문경시,70926
2005,경산시,242297
2005,군위군,24552
2005,의성군,56712
2005,청송군,26630
2005,영양군,17648
2005,영덕군,40547
2005,청도군,39558
2005,고령군,30895
2005,성주군,39682
2005,칠곡군,109018
2005,예천군,46056
2005,봉화군,32413
2005,울진군,51279
2005,울릉군,8331
2005,경상남도,3056356
2005,동부,1830441
2005,읍부,525081
2005,면부,700834
2005,창원시,501705
2005,마산시,428069
2005,진주시,337242
2005,진해시,150063
2005,통영시,121555
2005,사천시,106851
2005,김해시,431778
2005,밀양시,105966
2005,거제시,196481
2005,양산시,217154
2005,의령군,27651
2005,함안군,54526
