연도,행정구역별,인구
2010,전국,48580293
2010,동부,39822647
2010,읍부,4200082
2010,면부,4557564
2010,서울특별시,9794304
2010,종로구,155575
2010,중구,121144
2010,용산구,227400
2010,성동구,296135
2010,광진구,368021
2010,동대문구,346770
2010,중랑구,403105
2010,성북구,457570
2010,강북구,324413
2010,도봉구,348625
2010,노원구,587248
2010,은평구,450583
2010,서대문구,313814
2010,마포구,369432
2010,양천구,469434
2010,강서구,546938
2010,구로구,417339
2010,금천구,242510
2010,영등포구,396243
2010,동작구,397317
2010,관악구,520849
2010,서초구,393270
2010,강남구,527641
2010,송파구,646970
2010,강동구,465958
2010,부산광역시,3414950
2010,동부,3321167
2010,읍부,57949
2010,면부,35834
2010,중구,48197
2010,서구,116600
2010,동구,93976
2010,영도구,139723
2010,부산진구,380395
2010,동래구,266147
2010,남구,293900
2010,북구,302141
2010,해운대구,410084
2010,사하구,343324
2010,금정구,247333
2010,강서구,54347
2010,연제구,202943
2010,수영구,169814
2010,사상구,252243
2010,기장군,93783
2010,대구광역시,2446418
2010,동부,2277191
2010,읍부,133586
2010,면부,35641
2010,중구,72925
2010,동구,319754
2010,서구,211593
2010,남구,168574
2010,북구,453228
2010,수성구,445365
2010,달서구,605752
2010,달성군,169227
2010,인천광역시,2662509
2010,동부,2591326
2010,읍부,19494
2010,면부,51689
2010,중구,83623
2010,동구,73455
2010,남구,416088
2010,연수구,277429
2010,남동구,460750
2010,부평구,547395
2010,계양구,336809
2010,서구,395777
2010,강화군,56633
2010,옹진군,14550
2010,광주광역시,1475745
2010,동구,104639
2010,서구,305230
2010,남구,215270
2010,북구,480020
2010,광산구,370586
2010,대전광역시,1501859
2010,동구,246915
2010,중구,255486
2010,서구,500984
2010,유성구,293505
2010,대덕구,204969
2010,울산광역시,1082567
2010,동부,893529
2010,읍부,129776
2010,면부,59262
2010,중구,222493
2010,남구,335340
2010,동구,166297
2010,북구,169399
2010,울주군,189038
2010,경기도,11379459
2010,동부,9417766
2010,읍부,1203516
2010,면부,758177
2010,수원시,1071913
2010,장안구,289380
2010,권선구,302498
2010,팔달구,216928
2010,영통구,263107
2010,성남시,949964
2010,수정구,237198
2010,중원구,250070
2010,분당구,462696
2010,의정부시,417412
2010,안양시,602122
2010,만안구,257966
2010,동안구,344156
2010,부천시,853039
2010,원미구,442426
2010,소사구,221269
2010,오정구,189344
2010,광명시,329010
2010,평택시,388508
2010,동두천시,91828
2010,안산시,728775
2010,상록구,377838
2010,단원구,350937
2010,고양시,905076
2010,덕양구,375464
2010,일산동구,256919
2010,일산서구,272693
2010,과천시,66704
2010,구리시,185550
2010,남양주시,529898
2010,오산시,183890
2010,시흥시,407090
2010,군포시,278083
2010,의왕시,144501
2010,하남시,138829
2010,용인시,856765
2010,처인구,199196
2010,기흥구,358374
2010,수지구,299195
2010,파주시,328128
2010,이천시,195175
2010,안성시,179782
2010,김포시,224350
2010,화성시,488758
2010,광주시,228747
2010,양주시,187911
2010,포천시,140997
2010,여주군,101203
2010,연천군,41770
2010,가평군,50879
2010,양평군,82802
2010,강원도,1471513
2010,동부,919908
2010,읍부,248132
2010,면부,303473
2010,춘천시,276232
2010,원주시,311449
2010,강릉시,218471
2010,동해시,90574
2010,태백시,51558
2010,속초시,80791
2010,삼척시,67454
2010,홍천군,62888
2010,횡성군,37798
2010,영월군,35050
2010,평창군,37522
2010,정선군,35980
2010,철원군,43271
2010,화천군,22119
2010,양구군,19363
2010,인제군,28765
2010,고성군,26753
2010,양양군,25475
2010,충청북도,1512157
2010,동부,937763
2010,읍부,259415
2010,면부,314979
2010,청주시,666924
2010,상당구,243852
2010,흥덕구,423072
2010,충주시,203212
2010,제천시,134698
2010,청원군,143762
2010,보은군,30509
2010,옥천군,49730
2010,영동군,46231
2010,진천군,61915
2010,괴산군,31392
2010,음성군,84088
2010,단양군,28165
2010,증평군,31531
2010,충청남도,2028002
2010,동부,799777
2010,읍부,554959
2010,면부,673266
2010,천안시,574623
2010,동남구,257480
2010,서북구,317143
2010,공주시,122153
2010,보령시,97770
2010,아산시,278676
2010,서산시,156843
2010,논산시,119222
2010,계룡시,41528
2010,금산군,52952
2010,연기군,81447
2010,부여군,67584
2010,서천군,53914
2010,청양군,29755
2010,홍성군,82811
2010,예산군,77830
2010,태안군,53888
2010,당진군,137006
2010,전라북도,1777220
